Address,City,State,Postal Code,Charging Station Location,Number Of Charge Stand
"2005 Airport Wy S, Seattle, WA 98134",Seattle,WA,98134,"47.58526084724934, -122.32215962995319",6
"1st Ave S &, S Stacy St, Seattle, WA 98134",Seattle,WA,98134,"47.5816018280462, -122.33465993294469",8
"6000 16th Ave SW, Seattle, WA 98106",Seattle,WA,98106,"47.54627118990159, -122.3518773314047",6
"225 S Spokane St, Seattle, WA 98134",Seattle,WA,98134,"47.57125973853944, -122.32876356368804",2
"6100 4th Ave S #500, Seattle, WA 98108",Seattle,WA,98108,"47.54690798813537, -122.32876356370151",4
"1112 S Bailey St, Seattle, WA 98108",Seattle,WA,98108,"47.547863171955235, -122.3181500988974",8
"6701 Corson Ave S, Seattle, WA 98108",Seattle,WA,98108,"47.543087078786776, -122.32569745164696",6
"7277 Perimeter Rd S, Seattle, WA 98108",Seattle,WA,98108,"47.53703673605204, -122.30352710294507",4
"2450 8th Ave S, Seattle, WA 98134",Seattle,WA,98134,"47.58164547778629, -122.33472152231361",4
"2401 Utah Ave S, Seattle, WA 98134",Seattle,WA,98134,"47.580319601079445, -122.33481512134374",2
"4040 26th Ave SW, Seattle, WA 98106",Seattle,WA,98106,"47.56733212085418, -122.36487086091742",1
"4829 SW Barton St, Seattle, WA 98136",Seattle,WA,98136,"47.52283684697287, -122.39268000418193",3
"6400 Sylvan Way SW, Seattle, WA 98126",Seattle,WA,98126,"47.544612101399046, -122.37202042644077",1
"9456 16th Ave SW, Seattle, WA 98106",Seattle,WA,98106,"47.51783833558661, -122.35416764311047",1
"9240 2nd Ave SW, Seattle, WA 98106",Seattle,WA,98106,"47.52050473404755, -122.33528489159426",1
"9935 8th Ave SW, Seattle, WA 98106",Seattle,WA,98106,"47.514244278686135, -122.345756235663",2
"9409 E Marginal Wy S, Tukwila, WA 98108",Tukwila,WA,98108,"47.51888172464483, -122.2963177589721",6
"7101 Martin Luther King Jr Way S, Seattle, WA 98118",Seattle,WA,98118,"47.538470410344274, -122.28275651024907",4
"6901 Martin Luther King Jr Way S, Seattle, WA 98118",Seattle,WA,98118,"47.540520597625886, -122.28342590295918",2
"3401 S Norfolk St, Seattle, WA 98118",Seattle,WA,98118,"47.51181109896739, -122.28837989282356",4
"18025 E Marginal Wy S, Tukwila, WA 98168",Tukwila,WA,98168,"47.50589967668719, -122.29110829797855",2
"11195 5th Ave SW, Seattle, WA 98146",Seattle,WA,98146,"47.503285329392526, -122.34114688276715",1
